# k, Pcc, Pcchi
2.110203428568596521e-04 8.874839895917270951e+02 8.874839895917270951e+02
2.144526075971667385e-04 9.013955132718208461e+02 9.013955132718208461e+02
2.179406984302953594e-04 9.155182003742676216e+02 9.155182003742676216e+02
2.214855233726359179e-04 9.298670126911505349e+02 9.298670126911505349e+02
2.250880052095461704e-04 9.444334847532503545e+02 9.444334847532503545e+02
2.287490817355703940e-04 9.592331055714557806e+02 9.592331055714557806e+02
2.324697059985647715e-04 9.742570757172286449e+02 9.742570757172286449e+02
2.362508465477945339e-04 9.895214306662815034e+02 9.895214306662815034e+02
2.400934876860652035e-04 1.005017023268951448e+03 1.005017023268951448e+03
2.439986297259550199e-04 1.020760455361955110e+03 1.020760455361955110e+03
2.479672892502159890e-04 1.036742217807902307e+03 1.036742217807902307e+03
2.520004993764092018e-04 1.052979499369161431e+03 1.052979499369161431e+03
2.560993100258456283e-04 1.069462414134440678e+03 1.069462414134440678e+03
2.602647881969004482e-04 1.086208759043457576e+03 1.086208759043457576e+03
2.644980182427719858e-04 1.103208245673916963e+03 1.103208245673916963e+03
2.688001021537607393e-04 1.120479308682683040e+03 1.120479308682683040e+03
2.731721598441376204e-04 1.138011195587702787e+03 1.138011195587702787e+03
2.776153294436798464e-04 1.155823036377953940e+03 1.155823036377953940e+03
2.821307675939470740e-04 1.173903591817772622e+03 1.173903591817772622e+03
2.867196497493769728e-04 1.192272723689211716e+03 1.192272723689211716e+03
2.913831704832788461e-04 1.210918687506786227e+03 1.210918687506786227e+03
2.961225437988034134e-04 1.229862105270506618e+03 1.229862105270506618e+03
3.009390034449720770e-04 1.249090704826197907e+03 1.249090704826197907e+03
3.058338032378431388e-04 1.268625897795172932e+03 1.268625897795172932e+03
3.108082173869063645e-04 1.288454861096366812e+03 1.288454861096366812e+03
3.158635408267818990e-04 1.308599826380652530e+03 1.308599826380652530e+03
3.210010895543171532e-04 1.329047395519030033e+03 1.329047395519030033e+03
3.262222009711669896e-04 1.349820651631523106e+03 1.349820651631523106e+03
3.315282342319423150e-04 1.370905585558165967e+03 1.370905585558165967e+03
3.369205705980266659e-04 1.392326172126412985e+03 1.392326172126412985e+03
3.424006137971425355e-04 1.414067693321341039e+03 1.414067693321341039e+03
3.479697903887691928e-04 1.436155101769114708e+03 1.436155101769114708e+03
3.536295501355043156e-04 1.458572926434198507e+03 1.458572926434198507e+03
3.593813663804625697e-04 1.481347158471141256e+03 1.481347158471141256e+03
3.652267364308175480e-04 1.504461546522038589e+03 1.504461546522038589e+03
3.711671819475766804e-04 1.527943162670959055e+03 1.527943162670959055e+03
3.772042493416997012e-04 1.551774939034444742e+03 1.551774939034444742e+03
3.833395101766600972e-04 1.575985072426967918e+03 1.575985072426967918e+03
3.895745615775500948e-04 1.600555640867002694e+03 1.600555640867002694e+03
3.959110266468458469e-04 1.625516011190570453e+03 1.625516011190570453e+03
4.023505548869293143e-04 1.650847368363441547e+03 1.650847368363441547e+03
4.088948226294864268e-04 1.676580296059697275e+03 1.676580296059697275e+03
4.155455334718875077e-04 1.702695035962819247e+03 1.702695035962819247e+03
4.223044187206672164e-04 1.729223443683417145e+03 1.729223443683417145e+03
4.291732378422157359e-04 1.756144676599556306e+03 1.756144676599556306e+03
4.361537789208005771e-04 1.783491981442613451e+03 1.783491981442613451e+03
4.432478591240400501e-04 1.811243349053957672e+03 1.811243349053957672e+03
4.504573251759458222e-04 1.839433515078034134e+03 1.839433515078034134e+03
4.577840538376616304e-04 1.868039264600858132e+03 1.868039264600858132e+03
4.652299523960189294e-04 1.897096885027733606e+03 1.897096885027733606e+03
4.727969591600390906e-04 1.926581899048856712e+03 1.926581899048856712e+03
4.804870439655134495e-04 1.956532210303718557e+03 1.956532210303718557e+03
4.883022086877879990e-04 1.986922020198183418e+03 1.986922020198183418e+03
4.962444877628913436e-04 2.017790915204742532e+03 2.017790915204742532e+03
5.043159487171358559e-04 2.049111714466348985e+03 2.049111714466348985e+03
5.125186927053331995e-04 2.080925756053724854e+03 2.080925756053724854e+03
