# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.25082 -240.52 -240.42 -246.59 -247.04 -90.823 -97.009 -136.54 -148.6 282.28 0.40349
0.26052 -241.9 -241.71 -247.04 -247.4 -88.441 -94.365 -133.7 -145.25 262.12 0.39041
0.27059 -239.04 -238.81 -243.21 -243.48 -84.541 -90.134 -128.55 -139.41 239.12 0.37743
0.28105 -233.5 -233.39 -236.71 -237.07 -79.808 -85.085 -122.06 -132.26 215.85 0.36456
0.29191 -229.76 -229.54 -232.12 -232.34 -75.824 -80.756 -116.67 -126.18 196.18 0.35181
0.30319 -229.28 -229.17 -230.91 -231.15 -73.005 -77.736 -113.02 -122.09 180.93 0.33921
0.31491 -230.72 -230.5 -231.6 -231.72 -70.811 -75.322 -110.28 -118.93 168.16 0.32677
0.32708 -230.64 -230.34 -230.8 -230.83 -68.158 -72.443 -106.83 -115.01 155.33 0.3145
0.33972 -227.65 -227.53 -227.14 -227.31 -64.728 -68.812 -102.09 -109.84 141.73 0.30242
0.35285 -224.34 -224.25 -223.16 -223.35 -61.31 -65.153 -97.308 -104.58 129.12 0.29054
0.36649 -223.03 -222.86 -221.25 -221.34 -58.53 -62.151 -93.496 -100.31 118.63 0.27887
0.38065 -222.87 -222.77 -220.52 -220.63 -56.119 -59.576 -90.215 -96.697 109.63 0.26743
0.39536 -221.85 -221.8 -218.97 -219.09 -53.551 -56.83 -86.638 -92.765 100.91 0.25622
0.41064 -219.58 -219.4 -216.14 -216.18 -50.753 -53.811 -82.643 -88.338 92.31 0.24526
0.42651 -217.5 -217.38 -213.59 -213.66 -48.1 -50.988 -78.832 -84.18 84.558 0.23456
0.443 -216.58 -216.54 -212.19 -212.33 -45.782 -48.53 -75.514 -80.574 77.891 0.22411
0.46012 -215.59 -215.42 -210.78 -210.76 -43.526 -46.088 -72.248 -76.959 71.692 0.21394
0.4779 -213.68 -213.68 -208.48 -208.61 -41.16 -43.602 -68.762 -73.22 65.764 0.20405
0.49637 -212.01 -211.85 -206.4 -206.4 -38.928 -41.193 -65.451 -69.566 60.341 0.19444
0.51556 -210.66 -210.53 -204.7 -204.7 -36.841 -38.973 -62.329 -66.186 55.465 0.18512
0.53548 -209.07 -208.99 -202.79 -202.81 -34.791 -36.8 -59.231 -62.843 50.938 0.17609
0.55618 -207.49 -207.4 -200.92 -200.9 -32.828 -34.707 -56.235 -59.596 46.767 0.16735
0.57767 -205.96 -205.82 -199.09 -199.04 -30.952 -32.707 -53.348 -56.47 42.96 0.15891
0.6 -204.25 -204.2 -197.11 -197.13 -29.131 -30.785 -50.513 -53.438 39.446 0.15076
