# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.11569 -236.96 -237.84 -271.89 -274.3 -145.81 -158.2 -203.86 -230.01 1463.9 0.66518
0.12263 -250.53 -250.67 -283.91 -285.89 -150.09 -162.23 -210.06 -235.92 1359 0.6472
0.12999 -260.85 -260.87 -292.54 -294.32 -151.95 -164.03 -213.26 -238.73 1246.2 0.62878
0.1378 -263.04 -262.93 -291.99 -293.6 -148.72 -160.37 -209.31 -233.78 1107 0.60994
0.14607 -255.16 -255.28 -280.6 -282.26 -139.87 -150.8 -197.7 -220.33 947.85 0.59073
0.15484 -243.48 -243.82 -265.55 -267.03 -129.19 -139.27 -183.45 -204.05 798.51 0.57118
0.16413 -236.74 -236.91 -255.89 -257.1 -121.33 -130.62 -173.18 -192.04 684.35 0.55135
0.17398 -239.72 -239.38 -256.82 -257.57 -118.51 -127.18 -169.99 -187.77 610.79 0.53128
0.18443 -249.15 -249.23 -264.75 -265.91 -118.57 -127.37 -171.18 -188.89 561.11 0.51103
0.1955 -255.89 -255.38 -269.75 -270.36 -117.03 -125.3 -170.07 -186.82 508.05 0.49066
0.20723 -250.19 -249.93 -261.9 -262.6 -109.75 -117.52 -160.71 -176.2 439.36 0.47021
0.21967 -238.98 -239.14 -248.72 -249.46 -100.39 -107.55 -148.15 -162.25 371.6 0.44975
0.23286 -234.75 -234.55 -242.47 -243 -94.227 -100.7 -140.14 -152.9 322.02 0.42934
0.24683 -239.22 -238.82 -245.68 -245.84 -91.578 -97.688 -137.32 -149.36 290.1 0.40905
0.26165 -241.58 -241.73 -246.79 -247.29 -88.013 -94.013 -133.18 -144.78 259.7 0.38892
0.27736 -235.23 -235.34 -238.88 -239.36 -81.368 -86.847 -124.26 -134.76 223.79 0.36903
0.294 -229.37 -229.35 -231.6 -231.98 -75.19 -80.139 -115.87 -125.34 193.06 0.34942
0.31165 -230.43 -230.14 -231.45 -231.57 -71.439 -75.985 -111.1 -119.8 171.53 0.33016
0.33036 -230.2 -229.92 -230.04 -230.22 -67.315 -71.575 -105.72 -113.79 151.82 0.3113
0.35019 -224.45 -224.66 -223.46 -223.89 -61.819 -65.803 -98.043 -105.5 131.39 0.2929
0.37121 -223.37 -222.82 -221.28 -221.09 -57.821 -61.273 -92.535 -99.085 115.49 0.27498
0.39349 -222.07 -221.98 -219.37 -219.35 -53.901 -57.184 -87.142 -93.281 102.01 0.25761
0.41711 -218.48 -218.61 -214.94 -215.18 -49.595 -52.646 -81.003 -86.628 89.06 0.24082
0.44215 -216.88 -216.5 -212.5 -212.32 -45.951 -48.633 -75.763 -80.726 78.204 0.22464
0.46869 -214.55 -214.51 -209.58 -209.64 -42.342 -44.852 -70.512 -75.1 68.712 0.20909
0.49682 -211.96 -211.83 -206.45 -206.36 -38.887 -41.139 -65.365 -69.485 60.214 0.19421
0.52665 -210.28 -209.81 -204 -203.78 -35.755 -37.769 -60.723 -64.342 52.915 0.18001
0.55826 -207.6 -207.3 -200.89 -200.78 -32.674 -34.517 -56.009 -59.303 46.384 0.1665
0.59177 -205.07 -204.79 -197.92 -197.82 -29.807 -31.475 -51.575 -54.528 40.684 0.1537
0.62729 -202.29 -202.06 -194.85 -194.71 -27.103 -28.609 -47.33 -49.971 35.636 0.14159
0.66494 -199.9 -199.61 -192.12 -191.91 -24.633 -25.984 -43.408 -45.749 31.254 0.13018
0.70486 -196.91 -196.92 -188.78 -188.92 -22.273 -23.523 -39.6 -41.74 27.381 0.11946
0.74717 -194.07 -194.12 -185.8 -185.87 -20.117 -21.239 -36.071 -37.972 23.975 0.10941
0.79202 -191.41 -191.2 -182.73 -182.74 -18.142 -19.127 -32.804 -34.445 20.974 0.10003
0.83956 -188.08 -188.15 -179.39 -179.52 -16.278 -17.177 -29.666 -31.152 18.332 0.091296
0.88995 -185.6 -185.13 -176.63 -176.37 -14.64 -15.399 -26.885 -28.117 16.033 0.083182
0.94337 -182.65 -182.12 -173.63 -173.26 -13.111 -13.78 -24.255 -25.325 14.011 0.075665
1 -178.84 -178.9 -169.83 -169.97 -11.664 -12.294 -21.728 -22.734 12.233 0.068721
